기관명,제목,분류,URL,이미지URL,시작일자,종료일자,주소,시간,비용,전화번호,주최기관명,홈페이지URL,작성일자
경기문화재단,<지각의 통로>전,전시,https://ggc.ggcf.kr/cultureEvents/view/662b63ecbc4503821f249522,https://ggc.ggcf.kr/uploadimg/2023/file/KakaoTalk_20240426_163255636_1714119513314.jpg,2024-05-02,2024-07-28,,"10:00~18:00, 월 휴관",1만원,031-594-6335,모란미술관,www.moranmuseum.org,2024-04-26
경기문화재단,<내 마음 속 상상정원> 전,전시,https://ggc.ggcf.kr/cultureEvents/view/662b62e4bc4503821f249520,https://ggc.ggcf.kr/uploadimg/2023/file/KakaoTalk_20240426_163255177_1714119295133.jpg,2024-05-08,2024-06-30,,"10:00~18:00, 월 휴관","14,000원",031-580-7900,구리문화재단 아트갤러리,www.guriart.or.kr,2024-04-26
경기문화재단,<꿈_DREAM> 전,전시,https://ggc.ggcf.kr/cultureEvents/view/662b6351bc4503821f249521,https://ggc.ggcf.kr/uploadimg/2023/file/KakaoTalk_20240426_163255441_1714119413207.jpg,2024-05-21,2024-05-26,,"10:00~18:00, 월 휴관",무료,031-960-0182,고양문화재단,www.arthy.or.kr,2024-04-26
경기문화재단,뮤지컬 청춘연가,공연,https://ggc.ggcf.kr/cultureEvents/view/662b6076bc4503821f24951e,https://ggc.ggcf.kr/uploadimg/2023/file/KakaoTalk_20240426_163254655_1714118679888.jpg,2024-05-18,2024-05-18,,"14:00, 15:00","R석 3만원, S석 2만원",031-580-7900,구리문화재,www.guriart.or.kr,2024-04-26
경기문화재단,"<바람, 꽃 피우다> 전",전시,https://ggc.ggcf.kr/cultureEvents/view/662b6131bc4503821f24951f,https://ggc.ggcf.kr/uploadimg/2023/file/KakaoTalk_20240426_163254901_1714118784532.jpg,2024-04-25,2024-05-01,,10:00~18:00,무료,031-728-7001~3,"한국장애인고용공단, 바람꽃",www.kead.or.kr,2024-04-26
경기문화재단,[한국등잔박물관] 일상과 함께하다_기획전 (5/1~12/13),전시,https://ggc.ggcf.kr/cultureEvents/view/662a0cc1714ae68afcfd213b,https://ggc.ggcf.kr/uploadimg/2023/file/등잔박물관1_1714031806398.jpg,2024-05-01,2024-12-13,,,,031-334-0797,,한국등잔박물관 https://www.facebook.com/deungjanlamp/,2024-04-25
경기문화재단,[한국등잔박물관] 전통과 함께하다_교육 (5/4~7/28),교육,https://ggc.ggcf.kr/cultureEvents/view/662a0c09714ae68afcfd213a,https://ggc.ggcf.kr/uploadimg/2023/file/등잔박물관_1714031623980.jpg,2024-05-04,2024-07-28,,,,031-334-0797,한국등잔박물관,한국등잔박물관 https://www.facebook.com/deungjanlamp/,2024-04-25
경기문화재단,[경기도박물관] 왁자지껄 박물관 소풍 (5/4~5/6),행사,https://ggc.ggcf.kr/cultureEvents/view/66285ad592d0c9578df83a25,https://ggc.ggcf.kr/uploadimg/2023/file/경기도박물관1_1713920723439.jpg,2024-05-04,2024-05-06,,10:00~17:30,무료,031-288-5300,경기도박물관,https://www.facebook.com/gyeonggiprovincemuseum/,2024-04-24
경기문화재단,[벗이미술관] Versi Marketday (5/4~5/6),행사,https://ggc.ggcf.kr/cultureEvents/view/6628596592d0c9578df83a23,https://ggc.ggcf.kr/uploadimg/2023/file/벗이미술관_1713920353349.jpg,2024-05-04,2024-05-06,,10:00~17:30,카카오톡 친구 추가 시 성인 입장료 40% 할인,031-333-2114,벗이미술관,벗이미술관 인스타그램 (@artmuseumversi),2024-04-24
경기문화재단,<오색채담> 전,전시,https://ggc.ggcf.kr/cultureEvents/view/6629056bc933d6357abdf349,https://ggc.ggcf.kr/uploadimg/2023/file/1713964225891_1713964347900.jpg,2024-04-27,2024-06-29,,"10:00~18:00, 월 휴관",무료,,평택문화재단,www.pccf.or.kr,2024-04-24
경기문화재단,2024 김창완 밴드 콘서트,공연,https://ggc.ggcf.kr/cultureEvents/view/6629065ac933d6357abdf34a,https://ggc.ggcf.kr/uploadimg/2023/file/1713964230665_1713964511962.jpg,2024-05-17,2024-05-17,,19:30,전석 3만원,031-8053-3566,평택문화재단,www.pccf.or.kr,2024-04-24
경기문화재단,제31회 연천 구석기 축제,행사,https://ggc.ggcf.kr/cultureEvents/view/66268789ed3c4ab941ba32f5,https://ggc.ggcf.kr/uploadimg/2023/file/h_1713800979670.JPG,2024-05-03,2024-05-06,,9:00~18:00,무료,1899-3955,연천군,www.yeoncheon.go.kr/festival,2024-04-23
경기문화재단,콘서트형 가족음악극 '허균의 꿈',공연,https://ggc.ggcf.kr/cultureEvents/view/66268870ed3c4ab941ba32f8,https://ggc.ggcf.kr/uploadimg/2023/file/sa_1713801225493.JPG,2024-05-04,2024-05-04,,15:00,"R석 2만원, S석 15,000원",031-250-5300,"수원시, 수원문화재단",www.swcf.or.kr,2024-04-23
경기문화재단,<그림으로 다시쓰는 자산어보> 전,전시,https://ggc.ggcf.kr/cultureEvents/view/66268963ed3c4ab941ba32fa,https://ggc.ggcf.kr/uploadimg/2023/file/wk_1713801483537.JPG,2024-04-30,2024-10-27,,"10:00~18:00, 월 휴관",무료,031-579-6000,실학박물관,silhak.ggcf.kr,2024-04-23
경기문화재단,그림자놀이 길동무 북두칠성,행사,https://ggc.ggcf.kr/cultureEvents/view/662688fbed3c4ab941ba32f9,https://ggc.ggcf.kr/uploadimg/2023/file/sga_1713801338612.JPG,2024-05-11,2024-05-11,,"11:00, 15:00","1층 1만원, 2층 5천원",031-590-4358,남양주시,culture.nyj.go.kr,2024-04-23
경기문화재단,<계절의 참견> 전,전시,https://ggc.ggcf.kr/cultureEvents/view/662687f8ed3c4ab941ba32f6,https://ggc.ggcf.kr/uploadimg/2023/file/rp_1713801115635.JPG,2024-04-17,2024-07-31,,10:00~18:00,무료,031-999-3927,김포문화재단,www.gcf.or.kr,2024-04-23
경기문화재단,가족뮤지컬 슈퍼클로젯,공연,https://ggc.ggcf.kr/cultureEvents/view/6625d288141ad2c3a4f52905,https://ggc.ggcf.kr/uploadimg/2023/file/g_1713754652849.JPG,2024-05-11,2024-05-12,,"11:00, 14:00","A석 3만원, S석 5만원",031-783-8000,성남문화재단,www.snart.or.kr,2024-04-22
경기문화재단,<우아한 돌 ; Elegant Stones>,전시,https://ggc.ggcf.kr/cultureEvents/view/6625d11d141ad2c3a4f52902,https://ggc.ggcf.kr/uploadimg/2023/file/dn_1713754300433.JPG,2024-04-18,2024-06-23,,"10:00~18:00, 월 휴","2,000",031-637-0032,"이천시, 이천문화재단",모두 www.iwoljeon.org,2024-04-22
경기문화재단,<자가처방_한국도예>,전시,https://ggc.ggcf.kr/cultureEvents/view/6625d187141ad2c3a4f52903,https://ggc.ggcf.kr/uploadimg/2023/file/eh_1713754406030.JPG,2024-04-25,2024-06-30,,"10:00~18:00, 월 휴관","3,000",031-887-8250,"경기도자미술관, 한국도자재단",www.gmocca.org,2024-04-22
경기문화재단,2024 제2회 안정리예술인광장 어린이 그림 그리기 대회,행사,https://ggc.ggcf.kr/cultureEvents/view/66261dfceb290d347b30fbd7,https://ggc.ggcf.kr/uploadimg/2023/file/noname01_1713774075552.jpg,2024-04-01,2024-07-27,,9:00 ~ 18:00,무료,031-692-9110,평택시문화재단,https://theanjeongri.org/,2024-04-22
경기문화재단,복사골 예술제 '땡큐 봄',행사,https://ggc.ggcf.kr/cultureEvents/view/6625d0b3141ad2c3a4f52901,https://ggc.ggcf.kr/uploadimg/2023/file/aaa_1713754201814.JPG,2024-05-03,2024-05-05,,10:00~18:00,무료,032-325-1566,부천시,www.artbucheon.com,2024-04-22
경기문화재단,어린이극 벨벳토끼,공연,https://ggc.ggcf.kr/cultureEvents/view/6625d202141ad2c3a4f52904,https://ggc.ggcf.kr/uploadimg/2023/file/es_1713754514466.JPG,2024-06-22,2024-06-22,,"11:00, 14:00","전석 15,000원",1522-0338,"광주시문화재단,예술경영지원센터",www.nsart.or.kr,2024-04-22
경기문화재단,4월 목감하우스콘서트,공연,https://ggc.ggcf.kr/cultureEvents/view/66210581714537e08269c8cb,https://ggc.ggcf.kr/uploadimg/2023/file/목감_1713440026992.JPG,2024-04-24,2024-04-24,,19:30,무료,031-487-8827,시흥시,blog.naver.com/siheungblog,2024-04-18
